93.429,82.571,112.86,59.289
94.241,82.987,111.99,58.863
96.307,83.25,109.93,57.62
97.548,83.951,108.19,56.689
100.4,84.377,105.43,54.683
102.03,84.65,103.54,53.29
103.41,84.66,101.54,52.42
105.7,85.103,99.13,50.927
108.42,85.429,96.53,49.541
110.07,85.807,94.73,48.483
111.38,85.864,92.55,47.586
113.06,86.3,91.7,46.5
114.72,86.652,89.67,46.438
115.38,87.025,88.64,45.805
116.88,87.264,87.5,44.976
118.2,88.154,85.03,43.136
119.07,88.341,84.58,42.629
119.65,88.012,84.33,42.848
120.95,88.074,82.21,41.826
122.63,88.275,80.75,41.245
122.53,88.238,80.34,41.312
124.26,88.124,78.92,40.636
125.49,88.036,77.46,40.194
126.31,88.14,75.83,39.32
129.43,88.143,71.71,39.997
129.41,88.323,70.76,39.367
130.5,88.599,69.87,38.361
130.86,89.031,68.69,37.819
131.2,89.257,67.56,36.933
131.77,89.483,66.79,36.367
132.07,89.648,65.86,35.762
132.66,90.344,64.51,35.506
131.43,90.2,64.96,35.58
132.01,90.996,63.7,34.364
131.75,91.332,62.8,33.958
131.54,91.735,62.46,33.635
131.19,91.737,62.32,33.173
131.59,91.936,60.02,32.044
131.96,92.079,59.71,31.911
130.58,91.735,60.26,32.755
130.41,91.809,59.8,32.531
129.5,92.405,59.09,31.905
129.53,92.219,58.16,31.251
128.85,92.788,57.63,30.912
128.76,92.582,56.28,30.768
128.12,92.671,55.6,30.439
127.44,92.778,55.14,30.292
126.73,93.249,54.99,30.221
126.48,93.28,54.71,29.94
125.71,93.212,54.63,30.188
125.27,93.36,54.12,30.03
124.72,93.263,53.69,30.197
125.26,93.628,52.71,29.682
124.66,93.395,51.86,29.315
124.28,93.575,51.04,29.065
124.3,93.475,50.68,29.345
124.61,93.827,50.14,28.913
125.59,93.798,49.08,28.212
125.66,93.931,48.78,28.059
126.86,93.714,43.0,24.146
126.71,93.665,43.11,24.195
126.53,93.676,43.44,24.064
127.62,94.145,42.72,23.195
128.17,94.332,42.29,22.868
128.42,93.8,42.32,22.74
129.2,93.999,41.51,22.531
129.41,94.078,41.92,22.442
130.15,93.209,41.85,22.321
130.61,93.741,41.52,22.389
130.35,92.666,41.87,22.454
131.19,93.183,41.56,22.717
131.5,93.218,41.42,22.632
131.28,93.166,41.29,22.924
131.91,93.499,40.65,22.381
132.54,94.335,41.19,22.175
132.09,94.68,41.02,22.05
132.22,94.718,40.87,21.942
132.34,94.571,41.33,22.229
132.42,94.659,41.61,22.611
131.52,93.759,42.67,24.321
133.51,93.746,42.09,24.164
133.53,93.277,42.12,23.913
133.08,93.612,42.4,23.618
132.96,93.381,42.05,22.869
132.86,93.335,41.74,23.005
133.07,94.426,41.7,22.734
133.41,94.718,41.06,22.192
133.6,94.941,40.32,22.009
133.89,95.038,40.12,21.892
136.29,96.286,33.57,18.574
136.59,96.551,33.16,18.269
136.93,97.039,33.07,18.231
137.21,97.124,33.0,18.086
136.91,97.453,32.78,17.977
136.69,96.897,33.08,18.313
136.19,96.463,34.09,19.047
135.73,96.493,33.96,18.927
135.98,96.552,33.96,18.848
135.95,96.454,34.13,18.956
135.51,96.392,34.18,18.918
135.95,96.407,34.18,18.883
136.0,97.021,33.67,18.389
136.31,97.159,33.34,18.091
137.41,96.566,31.66,18.964
137.48,96.591,31.39,18.289
138.52,96.424,31.03,17.566
138.4,96.521,31.14,16.889
138.34,95.787,31.34,17.173
138.54,95.526,31.33,17.474
138.74,94.727,31.26,17.353
137.93,94.262,32.08,18.128
139.47,93.466,30.87,17.754
138.21,93.345,31.87,18.405
139.62,93.024,31.26,17.596
